0  1.24993 0.0018226  0.875472  182.256
0.380001  2.03728  -0.649683  -86.9563  7.01836
0.381001  1.94471  -0.641662  -98.3075  9.06458
0.382001  1.84041  -0.631466  -110.444  11.3767
0.383001  1.72353  -0.618801  -123.475  14.013
0.384001  1.59312  -0.603307  -137.519  17.0483
0.385001  1.44811  -0.584538  -152.701  20.5817
0.386001  1.2873  -0.561933  -169.151  24.7489
0.387001  1.10935  -0.534765  -186.989  29.7459
0.388001  0.912826  -0.502066  -206.297  35.8742
0.389001  0.696277  -0.462474  -227.016  43.6441
0.390001  0.458494  -0.413913  -248.577  54.0466
0.391001  0.199731  -0.352789  -267.985  69.2972
0.392001  -0.0726321  -0.272972  -272.851  90.9672
0.393001  -0.33738  -0.172505  -253.377  107.558
0.394001  -0.577239  -0.0618543  -226.38  112.53
0.395001  -0.790737  0.0510557  -201.009  112.833
0.396001  -0.980056  0.163202  -178.017  111.255
0.397001  -1.1475  0.273272  -157.221  108.782
0.398001  -1.29514  0.380609  -138.346  105.834
0.399001  -1.42475  0.484854  -121.14  102.622
0.400001  -1.5379  0.585804  -105.384  99.2594
0.401001  -1.63594  0.683346  -90.8886  95.8164
0.402001  -1.72004  0.777424  -77.4909  92.335
0.403001  -1.79124  0.868012  -65.0481  88.8413
0.404001  -1.85042  0.955107  -53.4351  85.3501
0.405001  -1.89835  1.03872  -42.541  81.8686
0.406001  -1.93571  1.11885  -32.267  78.3981
0.407001  -1.96306  1.19551  -22.5242  74.9356
0.408001  -1.9809  1.26872  -13.2324  71.474
0.409001  -1.98965  1.33846  -4.31838  68.0037
0.410001  -1.98964  1.40472  4.285  64.5119
0.411001  -1.98116  1.46747  12.6397  60.9836
0.412001  -1.96443  1.52667  20.8036  57.4015
0.413001  -1.9396  1.58225  28.8305  53.7457
0.414001  -1.9068  1.63413  36.7713  49.9941
0.415001  -1.86607  1.6822  44.6741  46.122
0.416001  -1.81745  1.72632  52.584  42.1016
0.417001  -1.76089  1.76634  60.5433  37.9019
0.418001  -1.69633  1.80206  68.5911  33.4882
0.419001  -1.62366  1.83323  76.762  28.8212
0.420001  -1.54275  1.8596  85.0843  23.8567
0.421001  -1.45344  1.88083  93.5777  18.5441
0.422001  -1.35554  1.89655  102.249  12.8257
0.423001  -1.24889  1.90632  111.084  6.63568
0.424001  -1.13333  1.90964  120.041  -0.100865
0.425001  -1.00879  1.90591  129.034  -7.46771
0.426001  -0.875298  1.89447  137.92  -15.5556
0.427001  -0.733062  1.87453  146.472  -24.4563
0.428001  -0.582576  1.84525  154.357  -34.2505
0.429001  -0.42472  1.80572  161.124  -44.9862
0.430001  -0.260886  1.75497  166.212  -56.6468
0.431001  -0.0930641  1.69215  168.998  -69.1156
0.432001  0.0761494  1.61655  168.912  -82.1541
0.433001  0.243679  1.52777  165.594  -95.4199
0.434001  0.406249  1.42576  159.02  -108.537
0.435001  0.560739  1.31085  149.514  -121.185
0.436001  0.704475  1.18362  137.603  -133.143
0.437001  0.835317  1.04485  123.803  -144.236
0.438001  0.951575  0.895514  108.48  -154.235
0.439001  1.05185  0.736856  91.8668  -162.816
0.440001  1.13495  0.570466  74.1806  -169.649
0.441001  1.19995  0.398202  55.7079  -174.553
0.442001  1.24621  0.221994  36.7809  -177.56
0.443001  1.27346  0.04366  17.7032  -178.835
0.444001  1.28165  -0.13515  -1.28674  -178.527
0.445001  1.27098  -0.31288  -19.9893  -176.674
0.446001  1.24183  -0.487969  -38.2042  -173.234
0.447001  1.1948  -0.658813  -55.7285  -168.192
0.448001  1.13067  -0.823846  -72.3893  -161.634
0.449001  1.05035  -0.98164  -88.0677  -153.753
0.450001  0.954886  -1.13099  -102.679  -144.783
